concept:bird:loons	bird : loons
concept:shoppingmall:montebello	shopping mall : montebello
concept:stadiumoreventvenue:aloha_stadium	stadium or event venue : aloha stadium
concept:crimeorcharge:misdemeanors	crime or charge : misdemeanors
concept:plant:walnut	plant : walnut
concept:profession:acupuncturists	profession : acupuncturists
concept:website:wtlv_tv	website : wtlv tv
concept:sportsteam:jags	sports team : jags
concept:plant:gingko	plant : gingko
concept:stadiumoreventvenue:rogers_arena	stadium or event venue : rogers arena
concept:stateorprovince:nebraska	state or province : nebraska
concept:person:knight	person : knight
concept:visualizablescene:thane	visualizable scene : thane
concept:profession:anesthesiologists	profession : anesthesiologists
concept:aquarium:uk_	aquarium : uk 
concept:river:reedy	river : reedy
concept:sportsteam:auburn_tigers	sports team : auburn tigers
concept:beverage:home_water	beverage : home water
concept:televisionstation:ksmq_tv	television station : ksmq tv
concept:country:bangladesh	country : bangladesh
concept:city:internet	city : internet
concept:product:macbook	product : macbook
concept:company:wikipedia	company : wikipedia
concept:householditem:information_sign	household item : information sign
concept:food:lemon_slices	food : lemon slices
concept:county:los_angeles_county	county : los angeles county
concept:blog:time_magazine	blog : time magazine
concept:televisionstation:kdck	television station : kdck
concept:chemical:ethanol	chemical : ethanol
concept:plant:dogwood	plant : dogwood
concept:sportsteamposition:second_basemen	sports team position : second basemen
concept:hotel:metropolis	hotel : metropolis
concept:mountain:mount_wilson	mountain : mount wilson
concept:country:the_united_states	country : the united states
concept:personmexico:david_martin	person mexico : david martin
concept:visualizablething:tri_state_area	visualizable thing : tri state area
concept:company:pakistan	company : pakistan
concept:visualizableattribute:stone	visualizable attribute : stone
concept:terroristorganization:operation	terrorist organization : operation
concept:river:bridgeport	river : bridgeport
concept:insect:ladybirds	insect : ladybirds
concept:artery:matter	artery : matter
concept:stateorprovince:montana	state or province : montana
concept:coach:john_fox	coach : john fox
concept:stadiumoreventvenue:ben_hill_griffin_stadium	stadium or event venue : ben hill griffin stadium
concept:person:sam_donaldson	person : sam donaldson
concept:city:darien	city : darien
concept:ceo:site_usage	ceo : site usage
concept:person:crew	person : crew
concept:river:mississippi_river	river : mississippi river
concept:emotion:depress	emotion : depress
concept:nerve:autonomic_nervous_system	nerve : autonomic nervous system
concept:plant:dahlias	plant : dahlias
concept:software:access	software : access
concept:profession:lawyers	profession : lawyers
concept:color:emerald	color : emerald
concept:city:seat	city : seat
concept:visualizableattribute:potable_water	visualizable attribute : potable water
concept:stadiumoreventvenue:legends_field	stadium or event venue : legends field
concept:website:wjxx_tv	website : wjxx tv
concept:actor:callahan	actor : callahan
concept:city:alma	city : alma
concept:beverage:tea	beverage : tea
concept:politicianus:president_obama	politician us : president obama
concept:river:nile	river : nile
concept:coach:dan_gable	coach : dan gable
concept:river:breede_river	river : breede river
concept:sportsteam:oakland_raiders	sports team : oakland raiders
concept:animal:wild_rabbits	animal : wild rabbits
concept:chemical:carbon_dioxide_emissions	chemical : carbon dioxide emissions
concept:city:huntington_beach	city : huntington beach
concept:disease:aspergers_syndrome	disease : aspergers syndrome
concept:coach:doc_holliday	coach : doc holliday
concept:bank:gold	bank : gold
concept:buildingfeature:total_amount	building feature : total amount
concept:hospital:pick	hospital : pick
concept:vegetable:lettuce	vegetable : lettuce
concept:vegetable:tobacco	vegetable : tobacco
concept:city:parents	city : parents
concept:software:message_click	software : message click
concept:reptile:cat	reptile : cat
concept:coach:bruce_arena	coach : bruce arena
concept:website:stranger	website : stranger
concept:mammal:water_buffalo	mammal : water buffalo
concept:physiologicalcondition:development_disorders	physiological condition : development disorders
concept:website:kcra_tv	website : kcra tv
concept:planet:southern_hemisphere	planet : southern hemisphere
concept:room:real_estate	room : real estate
concept:plant:box	plant : box
concept:televisionstation:keci	television station : keci
concept:reptile:raccoon	reptile : raccoon
concept:river:lake_nasser	river : lake nasser
concept:sportsteam:colorado_rockies	sports team : colorado rockies
concept:website:kswb	website : kswb
concept:stadiumoreventvenue:industry	stadium or event venue : industry
concept:musicalbum:centers	music album : centers
concept:coach:barry_melrose	coach : barry melrose
concept:vertebrate:search	vertebrate : search
concept:river:yangtse	river : yangtse
concept:hobby:reading	hobby : reading
concept:company:city_paper001	company : city paper001
concept:currency:bsd	currency : bsd
concept:bodypart:system002	bodypart : system002
concept:trainstation:berkley	trainstation : berkley
concept:coach:nolan_richardson	coach : nolan richardson
concept:city:aiea	city : aiea
concept:geopoliticallocation:far_east	geopolitical location : far east
concept:country:england	country : england
concept:city:baltimore	city : baltimore
concept:personaustralia:tubby_smith	person australia : tubby smith
concept:dateliteral:n1938	date literal : n1938
concept:city:grand_prairie	city : grand prairie
concept:room:master	room : master
concept:invertebrate:loggers	invertebrate : loggers
concept:stadiumoreventvenue:icon	stadium or event venue : icon
concept:crustacean:decapods	crustacean : decapods
concept:beverage:shake	beverage : shake
concept:room:development	room : development
concept:person:stephen	person : stephen
concept:televisionstation:wqec	television station : wqec
concept:transportation:operation	transportation : operation
concept:sportsteam:marquette_golden_eagles	sports team : marquette golden eagles
concept:city:st_louis	city : st louis
concept:city:mendocino	city : mendocino
concept:website:writely	website : writely
concept:sportsteam:chicago_fire	sports team : chicago fire
concept:stadiumoreventvenue:camp_nou	stadium or event venue : camp nou
concept:city:band	city : band
concept:company:connectix	company : connectix
concept:food:spores	food : spores
concept:televisionstation:wmed_tv	television station : wmed tv
concept:website:deja_com	website : deja com
concept:hotel:aston	hotel : aston
concept:plant:pines	plant : pines
concept:mountain:melanesia	mountain : melanesia
concept:mountain:geography	mountain : geography
concept:bodypart:reproductive_system001	bodypart : reproductive system001
concept:city:tel_aviv	city : tel aviv
concept:visualizablescene:picture	visualizable scene : picture
concept:bodypart:endocrine_glands	bodypart : endocrine glands
concept:country:cyprus	country : cyprus
concept:profession:chefs	profession : chefs
concept:emotion:mississippi	emotion : mississippi
concept:personus:torii_hunter	personus : torii hunter
concept:athlete:ray_mears	athlete : ray mears
concept:awardtrophytournament:nba_finals	award trophy tournament : nba finals
concept:country:bahrain	country : bahrain
concept:website:iphone	website : iphone
concept:politicianus:barack_obama	politician us : barack obama
concept:stadiumoreventvenue:pacific_bell_park	stadium or event venue : pacific bell park
concept:personus:norm_stewart	personus : norm stewart
concept:visualizablething:sea	visualizable thing : sea
concept:wine:cabernet_sauvignon	wine : cabernet sauvignon
concept:website:ksby	website : ksby
concept:city:imperial_beach	city : imperial beach
concept:invertebrate:worms	invertebrate : worms
concept:reptile:chameleons	reptile : chameleons
concept:visualizablething:house_salad	visualizable thing : house salad
concept:sportsteam:universities	sports team : universities
concept:mountain:guasti	mountain : guasti
concept:plant:balsam_fir	plant : balsam fir
concept:river:muskingum_river	river : muskingum river
concept:website:washington_post	website : washington post
concept:museum:fairview	museum : fairview
concept:food:leaf_surfaces	food : leaf surfaces
concept:coach:ben_schwartzwalder	coach : ben schwartzwalder
concept:county:brandon	county : brandon
concept:terroristorganization:nations	terrorist organization : nations
concept:stadiumoreventvenue:georgia_dome	stadium or event venue : georgia dome
concept:city:adin	city : adin
concept:disease:stomach_cancer	disease : stomach cancer
concept:country:australasia	country : australasia
concept:landscapefeatures:coast	landscape features : coast
concept:meat:balsamic_vinaigrette	meat : balsamic vinaigrette
concept:chemical:disinfectants	chemical : disinfectants
concept:geopoliticallocation:wright	geopolitical location : wright
concept:politicianus:john_marks	politician us : john marks
concept:vegetable:potatoes	vegetable : potatoes
concept:plant:mesquite	plant : mesquite
concept:country:middle_east_countries	country : middle east countries
concept:newspaper:jackson	newspaper : jackson
concept:amphibian:leatherback_sea_turtles	amphibian : leatherback sea turtles
concept:sportsteam:nevada_wolfpack	sports team : nevada wolfpack
concept:coach:charlie_strong	coach : charlie strong
concept:televisionstation:kepb_tv	television station : kepb tv
concept:sportsteam:houston_texans	sports team : houston texans
concept:insect:mites	insect : mites
concept:disease:suburb	disease : suburb
concept:crimeorcharge:sins	crime or charge : sins
concept:vegetable:corn	vegetable : corn
concept:room:side	room : side
concept:university:memphis	university : memphis
concept:automobilemaker:firefox	automobile maker : firefox
concept:governmentorganization:republican_national_committee	government organization : republican national committee
concept:beverage:breakfast	beverage : breakfast
concept:meat:pork	meat : pork
concept:sportsteam:arkansas_pine_bluff_golden_lions	sports team : arkansas pine bluff golden lions
concept:programminglanguage:body	programming language : body
concept:trainstation:george_mason	trainstation : george mason
concept:coach:coach_scott_linehan	coach : coach scott linehan
concept:stateorprovince:un	state or province : un
concept:disease:hepatitis	disease : hepatitis
concept:date:n1928	date : n1928
concept:actor:the_washington	actor : the washington
concept:televisionstation:ktne_tv	television station : ktne tv
concept:insect:leafminers	insect : leafminers
concept:beverage:central_water	beverage : central water
concept:company:viaweb	company : viaweb
concept:stateorprovince:cooperation	state or province : cooperation
concept:plant:heather	plant : heather
concept:musicinstrument:africa	music instrument : africa
concept:geopoliticalorganization:pasadena	geopolitical organization : pasadena
concept:stadiumoreventvenue:old_kent_park	stadium or event venue : old kent park
concept:geopoliticallocation:middle_east	geopolitical location : middle east
concept:publication:american_lawyer	publication : american lawyer
concept:city:windsor	city : windsor
concept:person:eric001	person : eric001
concept:city:kunia	city : kunia
concept:university:oregon_st	university : oregon st
concept:plant:alder_trees	plant : alder trees
concept:island:jones	island : jones
concept:city:nature	city : nature
concept:governmentorganization:representatives	government organization : representatives
concept:televisionstation:weta_tv	television station : weta tv
concept:mammal:deer	mammal : deer
concept:arthropod:water_fleas	arthropod : water fleas
concept:sportsteam:eastern_kentucky_colonels	sports team : eastern kentucky colonels
concept:city:del_mar	city : del mar
concept:year:n1959	year : n1959
concept:airport:omaha	airport : omaha
concept:sportsteam:central_oklahoma_bronchos	sports team : central oklahoma bronchos
concept:plant:bougainvillea	plant : bougainvillea
concept:animal:hawks	animal : hawks
concept:visualizablescene:saint_helena	visualizable scene : saint helena
concept:retailstore:christmas	retail store : christmas
concept:governmentorganization:u_s__department	government organization : u s  department
concept:condiment:ponzu_sauce	condiment : ponzu sauce
concept:insect:orb_weavers	insect : orb weavers
concept:company:datallegro	company : datallegro
concept:sportsteam:brewers	sports team : brewers
concept:academicfield:one_hand	academic field : one hand
concept:agent:elizabeth	agent : elizabeth
concept:bodypart:face	bodypart : face
concept:householditem:range	household item : range
concept:geopoliticalorganization:credits	geopolitical organization : credits
concept:coach:bill_parcells	coach : bill parcells
concept:city:guerneville	city : guerneville
concept:city:bloomington	city : bloomington
concept:insect:goggle	insect : goggle
concept:magazine:scientific_american	magazine : scientific american
concept:televisionstation:wgvu_tv	television station : wgvu tv
concept:televisionstation:kawe	television station : kawe
concept:magazine:far_eastern_economic_review	magazine : far eastern economic review
concept:city:communities	city : communities
concept:trainstation:commerce	trainstation : commerce
concept:stadiumoreventvenue:qualcomm_stadium	stadium or event venue : qualcomm stadium
concept:chemical:formaldehyde	chemical : formaldehyde
concept:county:manchester	county : manchester
concept:vertebrate:small_game	vertebrate : small game
concept:disease:cf_	disease : cf 
concept:disease:lung_cancer	disease : lung cancer
concept:sportsteam:phillies	sports team : phillies
concept:city:villa_park	city : villa park
concept:river:mohawk_river	river : mohawk river
concept:bird:brood_parasites	bird : brood parasites
concept:city:newyork	city : newyork
concept:chemical:carbon_monoxide_levels	chemical : carbon monoxide levels
concept:chemical:carbonic_acid	chemical : carbonic acid
concept:website:pyra_labs	website : pyra labs
concept:bank:ups_air	bank : ups air
concept:city:evansville	city : evansville
concept:stadiumoreventvenue:rca_dome	stadium or event venue : rca dome
concept:coach:billy_gillespie	coach : billy gillespie
concept:website:new_york_daily	website : new york daily
concept:date:n1964	date : n1964
concept:person:spurrier	person : spurrier
concept:river:montrose	river : montrose
concept:year:n1955	year : n1955
concept:coach:therrien	coach : therrien
concept:country:uk	country : uk
concept:currency:dram	currency : dram
concept:city:division	city : division
concept:muscle:neuromuscular_junction	muscle : neuromuscular junction
concept:politicianus:george_w__bush	politician us : george w  bush
concept:magazine:life	magazine : life
concept:eventoutcome:face	event outcome : face
concept:company:ryanair001	company : ryanair001
concept:city:airway_heights	city : airway heights
concept:amphibian:parent	amphibian : parent
concept:agriculturalproduct:steaks	agricultural product : steaks
concept:county:student	county : student
concept:plant:green_ash	plant : green ash
concept:beverage:coconut_milk	beverage : coconut milk
concept:city:artois	city : artois
concept:county:macon	county : macon
concept:currency:american	currency : american
concept:book:romania	book : romania
concept:fish:lake_trout	fish : lake trout
concept:bodypart:musculoskeletal	bodypart : musculoskeletal
concept:politicsblog:new_hampshire	politics blog : new hampshire
concept:stateorprovince:massachusetts	state or province : massachusetts
concept:vegetable:cranberries	vegetable : cranberries
concept:chemical:pyrite	chemical : pyrite
concept:retailstore:employees	retail store : employees
concept:sportsteam:boston_celtics	sports team : boston celtics
concept:person:john001	person : john001
concept:river:po	river : po
concept:politicaloffice:senate	political office : senate
concept:bird:penguins	bird : penguins
concept:personus:john_gibson	personus : john gibson
concept:animal:herbivores	animal : herbivores
concept:buildingmaterial:plumbing	building material : plumbing
concept:sportsteam:unc_wilmington_seahawks	sports team : unc wilmington seahawks
concept:muscle:fatigue	muscle : fatigue
concept:website:wsyx	website : wsyx
concept:trail:carroll	trail : carroll
concept:book:tim	book : tim
concept:retailstore:apple_computer_inc_	retail store : apple computer inc 
concept:stadiumoreventvenue:shea_stadium	stadium or event venue : shea stadium
concept:color:colors	color : colors
concept:legume:tempe	legume : tempe
concept:sportsteam:n2004_red_sox	sports team : n2004 red sox
concept:beverage:lemon_juice	beverage : lemon juice
concept:website:search	website : search
concept:politicaloffice:black_president	political office : black president
concept:arthropod:spiders_and_scorpions	arthropod : spiders and scorpions
concept:athlete:roy_williams	athlete : roy williams
concept:grain:barley	grain : barley
concept:coach:robb_akey	coach : robb akey
concept:governmentorganization:national_security_council	government organization : national security council
concept:nonneginteger:n10	nonneginteger : n10
concept:beverage:unique_air	beverage : unique air
concept:country:thailand	country : thailand
concept:amphibian:snake	amphibian : snake
concept:mammal:indoor_pets	mammal : indoor pets
concept:profession:meetings	profession : meetings
concept:country:britain	country : britain
concept:hallwayitem:phone	hallway item : phone
concept:city:columbus	city : columbus
concept:agriculturalproduct:insides	agricultural product : insides
concept:eventoutcome:call	event outcome : call
concept:fruit:lemons	fruit : lemons
concept:stadiumoreventvenue:wells_fargo_center_for_the_arts	stadium or event venue : wells fargo center for the arts
concept:coach:todd_graham	coach : todd graham
concept:televisionstation:wviz_tv	television station : wviz tv
concept:conference:bit	conference : bit
concept:plant:palmettos	plant : palmettos
concept:disease:hepatitis_a	disease : hepatitis a
concept:radiostation:dothan	radiostation : dothan
concept:stadiumoreventvenue:johnny_red_floyd_stadium	stadium or event venue : johnny red floyd stadium
concept:book:adventure	book : adventure
concept:awardtrophytournament:national_title	award trophy tournament : national title
concept:year:ny	year : ny
concept:monarch:property	monarch : property
concept:vertebrate:free_range_chickens	vertebrate : free range chickens
concept:fish:salmonids	fish : salmonids
concept:amphibian:female_monarchs	amphibian : female monarchs
concept:coach:darrell_royal	coach : darrell royal
concept:coach:coughlin	coach : coughlin
concept:coach:billy_donovan	coach : billy donovan
concept:city:smyrna	city : smyrna
concept:dateliteral:n1945	date literal : n1945
concept:university:raiders	university : raiders
concept:kitchenitem:chance	kitchen item : chance
concept:musicsong:spain	music song : spain
concept:visualizablescene:lake_elsinore	visualizable scene : lake elsinore
concept:country:brazil	country : brazil
concept:beverage:grenache	beverage : grenache
concept:geopoliticallocation:vanderbilt	geopolitical location : vanderbilt
concept:mammal:porcupines	mammal : porcupines
concept:nerve:pituitary	nerve : pituitary
concept:grain:jasmine_rice	grain : jasmine rice
concept:coach:karl_dorrell	coach : karl dorrell
concept:chemical:fats	chemical : fats
concept:politicalparty:confederate_states	political party : confederate states
concept:chemical:flour	chemical : flour
concept:personeurope:eddie_perez	person europe : eddie perez
concept:bird:wild_birds	bird : wild birds
concept:legume:soy_beans	legume : soy beans
concept:skiarea:red_cedar_river	ski area : red cedar river
concept:person:data	person : data
concept:stadiumoreventvenue:rexall_place	stadium or event venue : rexall place
concept:year:n1787	year : n1787
concept:island:selection	island : selection
concept:landscapefeatures:ports	landscape features : ports
concept:wine:red_wine	wine : red wine
concept:personcanada:products	person canada : products
concept:geopoliticalorganization:northern	geopolitical organization : northern
concept:product:mac_mini	product : mac mini
concept:coach:mangino	coach : mangino
concept:company:raritan	company : raritan
concept:company:advertising_com	company : advertising com
concept:person:terry_bowden	person : terry bowden
concept:food:eggplant	food : eggplant
concept:cheese:pepperoni	cheese : pepperoni
concept:sportsteamposition:guard	sports team position : guard
concept:visualizablething:romaine	visualizable thing : romaine
concept:shoppingmall:address	shopping mall : address
concept:city:torrance	city : torrance
concept:city:renton	city : renton
concept:beverage:strawberry	beverage : strawberry
concept:food:leaf	food : leaf
concept:agriculturalproduct:maize	agricultural product : maize
concept:disease:scd	disease : scd
concept:city:lakeland	city : lakeland
concept:newspaper:the_detroit_free_press	newspaper : the detroit free press
3	3
concept:stadiumoreventvenue:reliant_stadium	stadium or event venue : reliant stadium
concept:politicianus:john_edwards	politician us : john edwards
concept:river:mohawk	river : mohawk
concept:city:gillette	city : gillette
concept:stateorprovince:heritage	state or province : heritage
concept:coach:mariucci	coach : mariucci
concept:stadiumoreventvenue:camden_stadium	stadium or event venue : camden stadium
concept:sportsteam:indiana_university	sports team : indiana university
concept:sportsteam:boston_pilgrims	sports team : boston pilgrims
concept:building:nation	building : nation
concept:mammal:rhinoceroses	mammal : rhinoceroses
concept:awardtrophytournament:n2008_world_series	award trophy tournament : n2008 world series
concept:stadiumoreventvenue:lp_field	stadium or event venue : lp field
concept:mammal:gorillas	mammal : gorillas
concept:bird:cormorants	bird : cormorants
concept:company:intel	company : intel
concept:televisionstation:krma_tv	television station : krma tv
concept:beach:alpaugh	beach : alpaugh
concept:radiostation:montana	radiostation : montana
concept:coach:ron_cooper	coach : ron cooper
concept:visualizablescene:arverne	visualizable scene : arverne
concept:sportsleague:international	sports league : international
concept:book:non_profit_organization	book : non profit organization
concept:food:worm	food : worm
concept:personaustralia:tony_bennett	person australia : tony bennett
concept:sportsleague:post	sports league : post
concept:placeofworship:boys	place of worship : boys
concept:sportsteam:broncs	sports team : broncs
concept:eventoutcome:value	event outcome : value
concept:bird:iguana	bird : iguana
concept:beverage:slice	beverage : slice
concept:personus:george_o_leary	personus : george o leary
concept:city:university_park	city : university park
concept:chemical:power_plant	chemical : power plant
concept:mammal:household_pets	mammal : household pets
concept:personus:evan_longoria	personus : evan longoria
concept:televisionstation:wpbo_tv	television station : wpbo tv
concept:person:davis	person : davis
concept:stadiumoreventvenue:giants_stadium	stadium or event venue : giants stadium
concept:city:adelaide	city : adelaide
concept:stadiumoreventvenue:vanderbilt_stadium	stadium or event venue : vanderbilt stadium
concept:website:kwwl	website : kwwl
concept:blog:wood_tv	blog : wood tv
concept:coach:d_antoni	coach : d antoni
concept:person:phil_jackson	person : phil jackson
concept:city:indianapolis	city : indianapolis
concept:creditunion:credit_card_click	credit union : credit card click
concept:museum:brunswick	museum : brunswick
concept:skyscraper:collection	skyscraper : collection
concept:country:oman	country : oman
concept:stadiumoreventvenue:oakland_alameda_county_coliseum	stadium or event venue : oakland alameda county coliseum
concept:color:shade	color : shade
concept:disease:life_limiting_illnesses	disease : life limiting illnesses
concept:arthropod:mayfly_nymphs	arthropod : mayfly nymphs
concept:stadiumoreventvenue:anfield	stadium or event venue : anfield
concept:beverage:superior_water	beverage : superior water
concept:stadiumoreventvenue:romney_stadium	stadium or event venue : romney stadium
concept:city:saskatchewan	city : saskatchewan
concept:female:angels	female : angels
concept:animal:lists	animal : lists
concept:county:florence	county : florence
concept:sportsleague:major_league_soccer	sports league : major league soccer
concept:city:gilroy	city : gilroy
concept:geopoliticallocation:texas_tech	geopolitical location : texas tech
concept:emotion:relationship	emotion : relationship
concept:televisionstation:wyes_tv	television station : wyes tv
concept:city:brookline	city : brookline
concept:country:malawi	country : malawi
concept:vegetable:run	vegetable : run
concept:street:alameda	street : alameda
concept:river:six	river : six
concept:sportsteamposition:player	sports team position : player
concept:politician:geraldine_ferraro	politician : geraldine ferraro
concept:sportsteam:eastern_michigan_eagles	sports team : eastern michigan eagles
concept:food:insects	food : insects
concept:year:n1841	year : n1841
concept:stateorprovince:zauchensee	state or province : zauchensee
concept:politicianus:karl_rove	politician us : karl rove
concept:televisionstation:wgpt	television station : wgpt
concept:bodypart:hair	bodypart : hair
concept:city:north_hollywood	city : north hollywood
concept:geopoliticallocation:hahn	geopolitical location : hahn
concept:website:kten	website : kten
concept:beverage:local_water	beverage : local water
concept:island:quebec	island : quebec
concept:animal:monotremes	animal : monotremes
